state_initial,state,location_id,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date,all_non-ess_business_duration,travel_limit_duration,any_business_duration,any_gathering_restrict_duration,educational_fac_duration,stay_home_duration
KY,Kentucky,540,2020-04-20,2020-04-10,2020-12-27,2020-04-20,2020-04-13,2020-12-27,2020-04-20,2020-04-10,2020-12-27,16156.0,1215.0,9946.0,766.0,6210.0,449.0,,,,,2020-03-20,,2020-03-19,,2020-03-16,2020-06-29,2020-03-26,2020-05-11,46.0,,105.0,,,
LA,Louisiana,541,2020-04-11,2020-04-07,2020-12-27,2020-04-11,2020-04-10,2020-12-27,2020-04-11,2020-04-10,2020-12-27,18060.0,1242.0,10855.0,765.0,7205.0,477.0,,,2020-03-23,2020-05-15,2020-03-16,,2020-03-13,2020-05-15,2020-03-17,,2020-03-22,2020-05-01,40.0,,,63.0,,53.0
ME,Maine,542,2020-04-19,2020-04-10,2020-12-27,2020-04-09,2020-04-09,2020-12-27,2020-04-09,2020-04-09,2020-12-27,3814.0,244.0,2752.0,180.0,1062.0,64.0,,,2020-04-02,2020-05-31,2020-03-16,,2020-03-18,,2020-03-18,,2020-03-25,2020-05-01,37.0,,,,,59.0
MD,Maryland,543,2020-04-24,2020-04-19,2020-12-27,2020-04-24,2020-04-24,2020-12-27,2020-04-24,2020-04-24,2020-12-27,14350.0,1030.0,10389.0,764.0,3961.0,266.0,,,2020-03-30,2020-05-15,2020-03-16,,2020-03-16,2020-06-10,2020-03-16,,2020-03-23,2020-05-15,53.0,,,86.0,,46.0
MA,Massachusetts,544,2020-04-24,2020-04-20,2020-12-27,2020-04-23,2020-04-23,2020-12-27,2020-04-23,2020-04-23,2020-12-27,20197.0,1250.0,15348.0,973.0,4849.0,277.0,,,,,2020-03-17,,2020-03-13,,2020-03-17,,2020-03-24,2020-05-18,55.0,,,,,
MI,Michigan,545,2020-04-14,2020-04-11,2020-04-17,2020-04-14,2020-04-13,2020-04-14,2020-04-13,2020-04-13,2020-04-14,28300.0,2164.0,18145.0,1421.0,10155.0,743.0,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-23,2020-05-07,45.0,,,,,69.0
MN,Minnesota,546,2020-05-03,2020-04-30,2020-12-27,2020-05-02,2020-05-02,2020-12-27,2020-05-02,2020-05-02,2020-12-27,15196.0,1140.0,10212.0,785.0,4984.0,355.0,,,2020-03-28,2020-05-18,2020-03-18,,2020-03-28,,2020-03-17,2020-06-10,,,,,85.0,,,51.0
MS,Mississippi,547,2020-07-18,2020-07-12,2020-12-27,2020-07-17,2020-07-13,2020-12-27,2020-07-17,2020-07-13,2020-12-27,14005.0,862.0,8272.0,521.0,5733.0,341.0,,,2020-04-03,2020-04-27,2020-03-19,,2020-03-24,,2020-03-24,2020-06-01,2020-04-03,2020-04-27,24.0,,69.0,,,24.0
MO,Missouri,548,2020-05-06,2020-04-25,2020-12-27,2020-05-06,2020-04-30,2020-12-27,2020-05-04,2020-04-30,2020-12-27,21575.0,1586.0,13642.0,1027.0,7933.0,559.0,,,2020-04-06,2020-05-15,2020-03-23,,2020-03-23,2020-05-04,2020-03-23,2020-06-16,,,,,85.0,42.0,,39.0
MT,Montana,549,2020-04-03,2020-04-03,2020-04-03,2020-04-05,2020-04-05,2020-04-05,2020-04-05,2020-04-05,2020-04-05,4145.0,219.0,2475.0,134.0,1670.0,85.0,,,2020-03-26,2020-04-26,2020-03-15,,2020-03-24,2020-06-01,2020-03-20,2020-06-01,2020-03-26,2020-05-01,36.0,,73.0,69.0,,31.0
